SA1_7DIGITCODE_2016	employmentToPopulation
1101417	75
1101418	67.1
1101419	55.6
1101502	66.7
1101503	33.7
1101505	70.1
1101511	47.8
1101512	46.9
1101514	65.1
1101515	51.5
1101516	66.1
1101517	61.3
1101518	63.9
1101519	57.7
1101520	59.3
1101521	61.1
1101522	62.6
1101523	79.5
1101524	43.7
1101601	80.4
1101602	57
1101603	62
1101604	62.6
1101605	71
1101606	67.3
1101607	58.1
1101608	68.1
1101609	78.7
1101610	69.4
1101611	59.9
1101612	53.6
1101613	68.5
1101614	72.5
1101615	71.3
1101616	73.7
1101617	75.1
1101618	73.9
1101619	59.5
1101620	65.3
1101701	28.1
1101702	62.8
1101703	33.4
1101704	39.6
1101705	24.5
1101706	27.5
1101708	46.3
1101709	47.5
1101710	41.6
1101711	46
1101712	41.9
1101713	41
1101716	40.9
1101717	39.8
1101718	29.5
1101719	42.5
1101720	45.3
1101721	45.6
1101722	33.9
1101801	42.6
1101802	43.6
1101803	50.8
1101804	37.3
1101805	46
1101806	38
1101807	45.4
1101808	35
1101809	21.3
1101810	41.3
1101811	37.5
1101812	36.5
1101813	39.8
1101814	47.8
1101815	38.7
1101816	39.4
1101817	47.7
1101818	40.8
1101819	49.4
1101820	32.4
1101821	51.2
1101822	31.8
1101823	33.1
1101901	39.6
1101902	40.1
1101903	46.4
1101904	46
1101905	33.3
1101906	62.9
1101907	55.7
1101909	49.6
1101911	52.3
1101912	55.6
1101913	48.5
1101914	55.2
1101915	57.1
1101916	56
1101917	61.3
1101918	52.9
1101919	55.8
1101920	49.8
1101921	60.3
1101922	39.3
1101923	50.8
1102001	57.6
1102002	53.4
1102003	53.1
1102004	45.1
1102005	43.2
1102006	35.8
1102007	56.1
1102008	52.5
1102009	36.4
1102011	60.6
1102013	41.3
1102014	55.8
1102015	42.4
1102016	51.1
1102017	64.6
1102018	47.6
1102019	49
1102020	48.7
1102022	47.9
1102023	62.2
1102024	45.3
1102025	48.8
1102026	49
1102027	55.5
1102028	62.4
1102029	46.7
1102030	34.6
1102031	46.2
1102032	46.5
1102101	48.4
1102102	52
1102104	29.4
1102105	45.3
1102106	34.1
1102107	52.2
1102108	55.4
1102109	72.4
1102201	24
1102301	41.8
1102302	50.6
1102303	55.6
1102304	41.1
1102305	47.8
1102306	34.2
1102307	38.5
1102308	35.4
1102309	39.2
1102310	37.5
1102401	49
1102402	48.1
1102403	43.9
1102404	54.1
1102405	49.5
1102406	57.7
1102407	43.4
1102408	48.5
1102409	50.6
1102410	45.3
1102411	48.1
1102412	47.2
1102502	44.5
1102503	19.7
1102504	48.9
1102505	44.3
1102506	52.7
1102507	50.7
1102508	33.1
1102509	48.1
1102510	39.2
1102511	48.5
1102512	35.4
1102513	56.8
1102514	42.1
1102516	55.3
1102517	50
1102518	49.3
1102519	37.1
1102520	39.8
1102521	55.3
1102522	52.9
1102523	52.3
1102524	53.3
1102525	38
1102526	53.9
1102527	48.5
1102528	46.1
1102529	43.6
1102530	46.6
1102532	36.8
1102601	32.5
1102602	35.3
1102603	40.9
1102604	35.6
1102605	27.7
1102606	44.7
1102607	45.8
1102608	35.2
1102609	42.3
1102610	38.9
1102611	42.4
1102612	41.1
1102613	45.9
1102614	49.6
1102615	50.5
1102616	53.8
1102617	41.7
1102618	43.3
1102619	56.8
1102620	36.7
1102621	39.6
1102622	55.3
1102623	38.5
1102701	28.9
1102702	33.7
1102703	36.3
1102704	36.3
1102705	38
1102706	25.9
1102707	36.4
1102708	26.2
1102709	43.7
1102710	43.4
1102712	50.1
1102713	46.8
1102714	75
1102715	21.4
1102717	45.9
1102718	36.7
1102719	33.8
1102720	43.6
1102721	34.2
1102722	6.7
1102723	36.5
1102724	41.8
1102725	19.9
1102726	36.8
1102727	39.5
1102728	25.4
1102729	33.3
1102802	63.6
1102803	56.8
1102804	64.5
1102805	64.4
1102806	54.1
1102807	58.9
1102808	71.1
1102809	66.1
1102810	62.9
1102811	65.6
1102812	66.4
1102813	57.8
1102814	58.7
1102815	66.2
1102816	59.4
1102817	66.2
1102818	67.2
1102901	60.5
1102902	53.6
1102903	50.4
1102904	57
1102905	62.1
1102906	49.5
1102907	47
1102908	53
1102909	45.5
1102910	60.5
1102911	52.7
1102912	51.3
1102913	58.3
1102914	64.9
1102915	65.2
1102916	63.2
1102917	53.9
1102918	54.3
1102919	23.1
1102922	66.8
1102923	64.9
1102924	75.1
1102925	53.1
1102926	51.1
1102927	50.6
1102928	26
1103002	55.8
1103003	47.7
1103004	62.6
1103005	70.5
1103006	62.6
1103007	59.8
1103008	65.4
1103009	57.3
1103010	57.9
1103011	37.7
1103012	63.5
1103013	12
1103014	59.3
1103101	58.7
1103102	12.7
1103103	3
1103104	30.3
1103105	59.2
1103106	54.2
1103107	30
1103108	65.1
1103109	73.2
1103110	58
1103111	55.1
1103112	70.6
1103113	57.1
1103114	62.4
1103115	62.6
1103116	54.2
1103117	57.4
1103118	62.6
1103119	62.8
1103120	60.9
1103121	58
1103122	58.5
1103123	40.9
1103124	57.3
1103125	41.3
1103126	14
1103127	64.1
1103128	23.6
1103129	60
1103130	64.5
1103131	9.2
1103133	60.5
1103134	62.1
1103135	58
1103136	53.2
1103137	5.9
1103138	60.3
1103201	59.8
1103202	45.7
1103203	76.8
1103204	52
1103205	55.2
1103206	49.1
1103207	62.2
1103208	69.3
1103210	58.4
1103211	56.9
1103212	59.2
1103213	64.6
1103214	63.8
1103215	63.9
1103216	58.1
1103217	64.7
1103218	67.9
1103219	78.6
1103220	52.8
1103221	57.9
1103223	120
1103224	55.3
1103225	66.5
1103226	53.5
1103227	36.2
1103228	42.8
1103229	45
1103230	42.6
1103231	51.6
1103232	48
1103233	66.2
1103234	63.1
1103235	47.5
1103236	45
1103237	61.7
1103238	58.4
1103239	51.4
1103240	35.4
1103241	53.1
1103242	45.4
1103243	52.9
1103244	26.6
1103245	47.6
1103246	71.1
1103247	66.6
1103248	50
1103301	69.4
1103302	59.7
1103303	65.4
1103304	72.1
1103305	69.1
1103306	64.6
1103307	61.7
1103308	66
1103309	6.4
1103310	66
1103311	61.2
1103312	70.9
1103313	68.4
1103314	72.1
1103315	67.9
1103317	58.8
1103318	64.7
1103319	65.7
1103320	100
1103401	54.5
1103402	55.6
1103403	51.9
1103404	65.1
1103405	56.9
1103406	65.3
1103407	61.2
1103408	50
1103409	74.6
1103410	64.4
1103411	67
1103412	63.4
1103413	59.5
1103414	33.2
1103415	16
1103416	42.9
1103417	33.9
1103418	3.6
1103419	67.4
1103501	64.1
1103502	54.7
1103503	64.6
1103504	62.5
1103505	64.2
1103506	64.8
1103507	59.2
1103508	69.7
1103509	66.4
1103510	61.8
1103511	66.6
1103512	56.5
1103513	64.6
1103514	62.3
1103515	48.3
1103516	58.2
1103517	25.7
1103601	67.3
1103602	73.4
1103603	67.3
1103604	63.4
1103605	67.5
1103606	60.1
1103607	60.1
1103608	34.2
1103609	73.1
1103610	54.7
1103611	56.9
1103612	49.3
1103613	61.5
1103614	66
1103615	66.5
1103616	64.7
1103617	54.5
1103618	71.9
1103619	65.6
1103620	59
1103621	65.5
1103622	63
1103701	49.7
1103702	53.2
1103703	55.4
1103704	62
1103705	63.1
1103706	56.8
1103707	58.6
1103708	52.9
1103709	57.3
1103710	60.7
1103711	50
1103712	57.2
1103713	45.7
1103714	59.4
1103801	63.6
1103802	58.4
1103803	50.2
1103804	56.1
1103805	65.6
1103806	59.7
1103807	57.2
1103808	4.2
1103809	62.7
1103810	59.9
1103811	63.1
1103812	55.7
1103813	68.2
1103814	51.6
1103815	53.7
1103816	65.5
1103817	61.2
1103901	65.9
1103902	62.6
1103903	59.7
1103904	57.4
1103905	61.9
1103906	58.8
1103908	65.7
1103909	66.4
1103911	61.6
1103912	55.2
1103913	61.1
1103914	62.9
1103915	72.1
1103916	60.3
1103917	67.2
1103918	56.3
1103919	37.4
1103920	58.9
1103921	62.2
1103922	62.3
1103923	61.5
1103924	6.2
1103925	60.4
1103926	64.6
1103927	68.7
1103928	63
1103929	60.4
1103930	60.6
1103931	57
1104001	52.7
1104002	35.1
1104003	63.6
1104004	51.4
1104005	48.9
1104006	42.3
1104007	40.9
1104009	32.6
1104010	23.2
1104011	41.5
1104012	55.5
1104013	54.4
1104014	21.3
1104015	37.1
1104016	34
1104017	37.9
1104018	51.9
1104019	51.3
1104020	49.2
1104021	40.8
1104022	36.1
1104023	42.5
1104024	44
1104025	52.6
1104026	38.6
1104027	40.2
1104028	51.7
1104029	32.4
1104030	43.3
1104031	51.6
1104032	40.1
1104033	46.2
1104034	58.5
1104035	48
1104036	54.9
1104037	44.5
1104038	53.6
1104039	51.8
1104040	47
1104041	43.7
1104042	44.5
1104043	43.3
1104044	40.6
1104045	46.5
1104046	48.1
1104047	51.1
1104048	56
1104049	58.3
1104050	48.5
1104051	51.9
1104052	56.4
1104053	40.6
1104054	61.3
1104055	61.2
1104056	59.3
1104057	55.8
1104058	59.5
1104101	54.5
1104102	64.3
1104103	69.8
1104104	63.2
1104105	70.9
1104106	58.6
1104107	65.9
1104109	65.2
1104110	63
1104111	67.4
1104112	67.9
1104113	57.2
1104114	63.6
1104115	58
1104116	63.3
1104117	61.7
1104119	66.7
1104120	67.3
1104121	34.6
1104122	52.2
1104123	65.6
1104124	57.5
1104125	65.9
1104201	37
1104202	46.1
1104203	50.5
1104204	26.5
1104205	35.7
1104207	60
1104208	30
1104209	38.8
1104210	63
1104211	58.3
1104213	41.9
1104214	49.7
1104215	46.6
1104216	52.6
1104217	40.3
1104218	54.8
1104219	47.9
1104220	40.5
1104221	48
1104222	47.6
1104223	24
1104224	51.6
1104225	56.4
1104226	55.3
1104227	49.3
1104228	50.8
1104229	44.4
1104230	43.4
1104231	29.2
1104232	36
1104233	42.4
1104301	30.6
1104302	54
1104303	53.4
1104304	63.4
1104305	57.5
1104306	75
1104307	61.5
1104308	50.2
1104309	58.9
1104310	65.7
1104311	65.2
1104312	1
1104313	24.3
1104314	5.1
1104315	53.1
1104316	55.6
1104317	55.5
1104318	49.5
1104319	63
1104320	53.8
1104321	63.2
1104322	58
1104323	57.1
1104324	62.5
1104325	39.2
1104326	66
1104327	61.2
1104328	59.2
1104329	62.1
1104330	55.3
1104401	50.4
1104402	51.5
1104403	40.2
1104404	58.2
1104405	61.6
1104406	53.8
1104407	57.4
1104408	51.4
1104409	50.8
1104410	6.7
1104411	19.2
1104412	55.1
1104414	59.5
1104415	64.6
1104416	59.4
1104417	52.4
1104419	61.7
1104420	26.1
1104421	27.6
1104422	58.7
1104423	64
1104424	55.8
1104425	54.6
1104426	62.3
1104427	53.4
1104428	60.6
1104429	52.4
1104430	47
1104431	54.9
1104432	61.7
1104433	55.4
1104434	57.3
1104435	63.9
1104436	63.9
1104437	55.1
1104438	64.1
1104439	59.4
1104440	0.8
1104441	54.9
1104442	60.6
1104443	51.7
1104444	48.6
1104445	39.9
1104446	28.9
1104447	32.7
1104448	48.1
1104449	48.4
1104450	63.3
1104451	64.2
1104452	57.9
1104453	64
1104454	54.7
1104455	46.2
1104456	63.8
1104457	66.6
1104458	60.3
1104459	52.2
1104501	52.7
1104502	56.5
1104503	54.6
1104504	57.1
1104505	45.7
1104506	53.9
1104507	53
1104508	45.5
1104509	51.9
1104510	51.2
1104511	54.3
1104512	55
1104513	52.7
1104514	60.9
1104515	56.1
1104516	49.6
1104517	59.9
1104518	62.2
1104519	57.1
1104521	55.5
1104522	55
1104523	50.5
1104524	51.6
1104601	48.7
1104602	50.6
1104603	54.6
1104604	46.6
1104605	46
1104606	54.7
1104607	51.2
1104608	42.6
1104609	44.2
1104610	41
1104611	18.4
1104612	51.2
1104614	49.3
1104615	56.8
1104616	49.7
1104617	40.5
1104618	48.8
1104619	49.9
1104620	42.1
1104621	56.1
1104622	50.4
1104623	27.3
1104624	53.8
1104625	25.1
1104701	70.5
1104702	70.8
1104703	65.6
1104704	66.6
1104705	65
1104706	62.7
1104707	58
1104708	65.5
1104709	66.2
1104710	16.5
1104711	25.4
1104712	65.8
1104713	28.3
1104714	63.1
1104715	61.1
1104716	61.2
1104717	57.3
1104718	55.7
1104719	61.4
1104720	71
1104721	68.1
1104722	63.9
1104723	57.8
1104724	65.5
1104725	57.3
1104726	70
1104727	61.9
1104728	64.1
1104729	65.8
1104730	61.4
1104731	61.3
1104732	59.1
1104733	55.7
1104734	57.6
1104735	58.9
1104736	57.8
1104737	44.4
1104801	46.8
1104802	59.4
1104803	58.8
1104804	58.3
1104805	61.6
1104806	53.3
1104807	54.4
1104808	43.4
1104809	50.7
1104810	43
1104811	51.4
1104812	55
1104813	50.1
1104814	43
1104815	31.1
1104816	44.9
1104817	43
1104818	44.1
1104819	48.9
1104820	43.8
1104821	15
1104822	55.4
1104823	50.4
1104824	45.9
1104825	47.1
1104826	38.3
1104827	42.8
1104828	50.2
1104829	40
1104830	36.6
1104831	63.1
1104832	51.9
1104833	43.9
1104834	46.4
1104835	42.1
1104836	49.1
1104837	46.1
1104838	55.7
1104840	58.6
1104841	53.2
1104842	41.6
1104843	41.5
1104844	60.4
1104845	38.3
1104846	29.1
1104847	47.9
1104848	59.2
1104849	6.2
1104901	65.6
1104902	68.9
1104903	63.6
1104904	54.8
1104905	64.3
1104906	52.8
1104907	62.6
1104908	57.8
1104910	53.4
1105001	60.4
1105002	49.5
1105003	63.7
1105004	57.8
1105005	58.4
1105006	55.9
1105007	56.9
1105008	32.1
1105009	61.7
1105010	53.5
1105011	54
1105012	57.8
1105013	49.5
1105015	52.8
1105016	33.3
1105017	16
1105018	57.7
1105019	56.1
1105020	6.2
1105021	5.2
1105022	56.9
1105024	50.3
1105025	48.9
1105026	47.2
1105027	6.5
1105028	24
1105101	64.9
1105102	66
1105103	58
1105104	65.5
1105106	54.9
1105107	67.1
1105108	59.7
1105109	56.9
1105110	73.9
1105111	60.6
1105112	70.5
1105113	66.1
1105114	68.4
1105115	67.3
1105116	60.8
1105201	44.8
1105202	57
1105203	50.4
1105204	60.2
1105205	51.8
1105206	42.2
1105207	45.2
1105208	47.7
1105209	48.2
1105210	46.3
1105213	46.2
1105214	56.8
1105215	44.5
1105216	45.8
1105301	44.8
1105302	40.4
1105303	46
1105304	54
1105305	46.1
1105306	57.1
1105307	39.8
1105308	48.9
1105309	58.8
1105310	51.1
1105311	51.1
1105312	50.2
1105313	42.7
1105314	46.4
1105315	52.5
1105316	43.3
1105317	45.4
1105318	43.2
1105319	47
1105320	52.1
1105321	51.4
1105322	47.3
1105324	57.3
1105325	42.5
1105326	57.9
1105327	40
1105328	42.9
1105329	40.1
1105330	42.8
1105331	29.8
1105332	38.1
1105333	44.9
1105334	34.8
1105335	40.8
1105336	50.4
1105337	52.5
1105401	43.9
1105402	38.4
1105403	32.6
1105404	22.2
1105405	44.5
1105406	12.1
1105407	47
1105408	57.6
1105409	51.3
1105410	52.1
1105411	49.6
1105412	52.8
1105413	59.9
1105414	48.1
1105417	39.9
1105418	36.1
1105419	23.3
1105420	44.9
1105421	48.9
1105422	45.6
1105423	50.6
1105424	48.1
1105501	50.8
1105502	60.8
1105503	56.7
1105504	55.6
1105505	70.7
1105506	52.4
1105507	62.4
1105508	53.5
1105509	48.3
1105510	62.4
1105511	63.1
1105512	57.6
1105513	58.5
1105514	59
1105601	52.6
1105602	66.5
1105603	66.8
1105604	59.4
1105605	58.4
1105606	63.2
1105607	57.3
1105608	58.4
1105609	58.4
1105612	57.5
1105613	59
1105614	57.1
1105615	51.3
1105616	28.6
1105617	68.8
1105618	63
1105620	63.8
1105621	100
1105622	62.3
1105623	65.2
1105624	55.2
1105625	46.7
1105626	56.5
1105627	60.8
1105628	68.1
1105629	62.2
1105630	37.9
1105631	62.3
1105632	43.1
1105633	64.9
1105701	61.7
1105702	59.2
1105703	56.6
1105704	53.6
1105705	50
1105706	40.6
1105707	42.7
1105708	58.3
1105709	62.4
1105710	27.3
1105711	43.7
1105712	35.9
1105713	36.8
1105714	53.5
1105715	30.2
1105716	42.9
1105717	58.6
1105718	34.2
1105719	44.8
1105720	43.2
1105801	58.8
1105802	57.3
1105804	53.9
1105805	51.2
1105806	66.8
1105807	61.7
1105808	40.7
1105809	50.2
1105811	66.9
1105813	65.6
1105814	46.5
1105815	60.2
1105816	61.4
1105817	56.2
1105818	51
1105819	50.3
1105820	50.7
1105821	46
1105822	51.2
1105823	46.3
1105824	55.6
1105825	49
1105826	63.7
1105827	39.3
1105828	57.7
1105829	50.3
1105830	37.9
1105831	61.3
1105832	41.5
1105833	33.7
1105834	52.3
1105835	69.1
1105836	51.9
1105837	58.8
1105838	62.1
1105839	68.1
1105840	57.2
1105841	37.2
1105842	70.5
1105843	43.2
1105844	57.3
1105845	65.5
1105846	51.8
1105847	55.6
1105848	57.1
1105850	62.3
1105851	43.4
1105853	43.7
1105854	54.1
1105855	54.7
1105856	56.8
1105857	35.6
1105859	74.1
1105860	68.3
1105861	61.4
1105862	71.3
1105863	74.4
1105864	64.6
1105901	62.5
1105902	60
1105903	58.6
1105904	100
1105905	32.3
1105906	33.8
1105907	35.9
1105908	17.6
1105910	71.2
1105912	50.2
1105913	58.8
1105914	44.1
1105915	53.3
1105916	63.9
1105917	69.7
1105918	53.9
1105919	64.9
1105920	59.5
1105921	57
1105922	64.9
1105923	64.1
1105924	49.5
1105925	69.1
1105926	68.4
1105927	43.7
1106001	53.5
1106002	53.3
1106003	58.9
1106004	61.1
1106005	34.9
1106006	65.1
1106007	51.6
1106008	54.6
1106009	63.2
1106010	52.8
1106011	63.3
1106012	62.1
1106013	61.6
1106014	61.7
1106015	61.7
1106016	58.6
1106017	60.1
1106018	52.9
1106019	55.9
1106020	56.4
1106101	48
1106102	57.5
1106103	57.8
1106104	59.3
1106105	54.2
1106106	48.5
1106107	24.5
1106108	59.8
1106109	47.7
1106110	35.7
1106111	44
1106112	48.1
1106113	33.3
1106114	51
1106115	55.1
1106116	48.9
1106201	26.9
1106202	37.8
1106203	52.6
1106204	45.4
1106205	61.4
1106206	56.2
1106207	52.7
1106208	41.5
1106209	44.7
1106210	48.7
1106211	41
1106212	35
1106213	64.8
1106214	70.9
1106215	65.5
1106216	58.3
1106217	58.2
1106218	59.7
1106219	71.4
1106220	57.9
1106221	67.6
1106222	44.3
1106224	31.6
1106303	36.2
1106304	56.7
1106305	54.5
1106306	22.1
1106308	45.6
1106309	31.3
1106310	45.2
1106311	39.4
1106312	39.9
1106313	49.7
1106314	48.8
1106315	54.3
1106316	40.4
1106317	38.5
1106318	26.6
1106319	29.3
1106320	29.9
1106321	42.3
1106322	42.6
1106323	48.9
1106324	51.7
1106325	53.2
1106326	53.3
1106327	63.3
1106328	60.6
1106329	57.5
1106401	49
1106402	56.5
1106403	46.5
1106404	39
1106405	28.9
1106406	40
1106407	55.6
1106408	61.6
1106409	47.1
1106410	50.9
1106411	55
1106412	62.1
1106413	60.7
1106414	47.3
1106415	33.3
1106416	54.4
1106417	56.8
1106418	53.8
1106501	51.5
1106502	37.6
1106503	37.3
1106504	53.5
1106505	50.2
1106506	55.1
1106507	47.8
1106508	45.9
1106509	53.9
1106510	58.8
1106511	56.2
1106512	35.6
1106513	49.8
1106514	52.4
1106515	42.5
1106516	66.5
1106517	67.7
1106518	67.9
1106519	65.6
1106520	67.4
1106521	63.8
1106522	65.3
1106523	46
1106524	58
1106525	58.9
1106526	54
1106527	29.3
1106528	43.2
1106529	44.3
1106601	35.1
1106602	77.2
1106603	68
1106604	42
1106605	39.8
1106606	40.7
1106607	33.6
1106608	32
1106609	48
1106610	41.8
1106611	62.6
1106612	49.7
1106613	64
1106701	50
1106702	58.5
1106703	63.7
1106704	46.7
1106705	62.8
1106706	60.5
1106707	63.2
1106708	58.3
1106709	42.2
1106710	55.1
1106711	44.6
1106712	29.9
1106713	61.9
1106714	44.4
1106715	54.2
1106716	57.1
1106717	37.1
1106718	63.2
1106719	34.6
1106720	47.8
1106721	42.7
1106722	46
1106723	46.4
1106724	50.9
1106725	67.3
1106726	53.6
1106727	41
1106728	39.1
1106729	39.4
1106801	51.6
1106802	25.1
1106803	35.2
1106804	38.6
1106805	40.2
1106806	57.2
1106807	45
1106808	61.4
1106809	50.8
1106810	64.3
1106811	70
1106901	67.2
1106902	56.5
1106903	64.3
1106904	61.4
1106905	82
1106906	52.9
1106907	62.7
1106908	58.9
1106909	57
1106910	69.7
1106911	20.4
1106912	34.7
1106913	50.6
1106914	50.9
1106915	46.9
1106916	44.6
1106917	57.4
1106918	45.6
1106919	59
1107001	61.9
1107002	51.8
1107003	37.6
1107004	38.7
1107005	35.8
1107006	41.5
1107007	37.6
1107008	56.9
1107010	45.2
1107011	41.6
1107012	43
1107013	46.5
1107014	57.5
1107015	46.3
1107016	38.4
1107017	62.6
1107018	48
1107019	34.9
1107020	36.5
1107021	17.9
1107022	37.2
1107023	35.1
1107024	53.4
1107025	50.6
1107026	48.9
1107027	56.3
1107028	47.4
1107029	47.8
1107030	58.1
1107032	42.6
1107101	23.4
1107102	45.6
1107103	45.5
1107104	45.6
1107105	51
1107106	48.5
1107107	39.5
1107108	55.4
1107109	65
1107110	55.1
1107111	46.2
1107112	63.5
1107113	36.4
1107114	63.3
1107115	59.1
1107116	58.2
1107117	52.7
1107118	55.6
1107119	49.7
1107120	66
1107121	45.1
1107122	35.3
1107123	35.6
1107124	35.8
1107125	44
1107126	32.6
1107127	52
1107128	45.6
1107201	41.9
1107202	51.2
1107203	46.7
1107204	28.1
1107205	44.8
1107206	59.5
1107207	66.9
1107208	46.1
1107209	59.1
1107210	40.1
1107211	64.5
1107212	65.4
1107214	61.8
1107215	57.1
1107216	50.9
1107217	62.6
1107218	59.5
1107219	51.8
1107220	48.1
1107221	52.7
1107222	63
1107224	43
1107225	61.1
1107226	68.3
1107227	70.2
1107228	68.2
1107302	50.2
1107303	41.8
1107304	35.5
1107305	38.4
1107306	23
1107307	24.7
1107308	29.3
1107309	34.3
1107310	46
1107311	28.9
1107312	39.6
1107313	51.6
1107314	49
1107401	53.7
1107402	53.9
1107403	46.2
1107404	43.7
1107405	36
1107406	33.7
1107407	43.8
1107408	53
1107409	40.3
1107410	37.2
1107411	60.9
1107412	47.9
1107413	42.1
1107414	50.1
1107415	47.2
1107416	61
1107417	48.2
1107418	67
1107419	50
1107420	56.9
1107421	64.2
1107422	52.8
1107423	37.1
1107425	39.6
1107426	39.2
1107427	55.6
1107601	68
1107602	62.2
1107603	59.1
1107604	51.7
1107605	59.6
1107606	38.2
1107607	45.6
1107608	46
1107609	57.2
1107610	50
1107611	33.3
1107612	47.1
1107613	57.9
1107614	66
1107615	64.9
1107616	70.7
1107617	55.8
1107618	60.7
1107619	59.9
1107620	48.9
1107621	66.2
1107701	54.9
1107702	33.9
1107703	57.2
1107704	53.1
1107705	38.4
1107706	45.7
1107707	45.8
1107708	61.3
1107709	49
1107710	44.8
1107711	51.8
1107712	60.7
1107713	45.3
1107714	52.8
1107715	62.6
1107716	58
1107717	64.2
1107718	53.9
1107719	61.2
1107720	42.2
1107721	56
1107722	49.2
1107723	56.7
1107724	31.9
1107725	66.3
1107726	48.5
1107727	49.7
1107728	61.7
1107729	61
1107730	50.8
1107731	58.1
1107732	65.8
1107733	38.1
1107734	42.7
1107736	52.8
1107737	67.8
1107738	57.9
1107739	11.1
1107740	58.8
1107741	39.3
1107742	52.7
1107743	47.1
1107744	51.8
1107745	47.4
1107746	55.4
1107747	16.9
1107748	48
1107749	29.3
1107750	20.5
1107751	33.6
1107752	32.8
1107753	58
1107754	53.8
1107801	50.4
1107802	49.5
1107804	60.7
1107805	39.6
1107806	55.9
1107807	72.8
1107808	27.2
1107809	61.7
1107810	57.3
1107811	67.2
1107812	68
1107813	66.2
1107814	69.9
1107815	54
1107816	76
1107817	61.4
1107818	63.6
1107819	60.6
1107820	62
1107821	62.5
1107822	63.5
1107823	68.5
1107824	52.3
1107825	65.9
1107826	63.3
1107827	76
1107828	54.3
1107829	47.4
1107830	45.9
1107831	63.1
1107833	69.8
1107834	73.5
1107835	66.4
1107836	68.9
1107837	28.2
1107838	60.5
1107839	46.5
1107840	70.4
1107841	75.2
1107842	72.4
1107843	76.3
1107844	68.3
1107845	64.1
1107901	40.6
1107902	48.8
1107903	47.7
1107904	44
1107905	52
1107906	52.7
1107907	63.6
1107908	61.4
1107909	63.8
1107910	61
1107911	64.8
1107912	62.2
1107913	65.4
1107914	66.2
1107915	68.5
1107916	66.7
1107917	54.7
1107918	65.4
1107919	56.5
1107920	49.7
1107921	53.3
1107922	65.7
1107923	61.4
1107924	66.1
1107925	62.3
1107926	72.9
1107927	66.9
1107928	71.5
1107929	67.5
1107930	64.8
1107931	72.1
1107932	63.3
1107933	64.8
1107934	70.3
1107935	68.5
1107936	61
1108001	40.2
1108002	43.9
1108003	41.5
1108004	36.4
1108005	35.5
1108006	37.8
1108007	29.5
1108008	24.5
1108009	27.7
1108010	46.2
1108011	39.6
1108012	36.8
1108013	38.4
1108014	32.1
1108015	50.2
1108016	56.6
1108017	53.9
1108018	26.2
1108019	47.2
