SA1_7DIGITCODE_2016	persons
1104319	413
1104320	457
1104321	358
1104322	345
1104323	461
1104324	527
1104325	440
1104326	572
1104327	387
1104328	264
1104329	302
1104330	618
1104401	323
1104402	365
1104403	245
1104404	674
1104405	288
1104406	272
1104407	430
1104408	297
1104409	312
1104410	238
1104411	313
1104412	650
1104414	490
1104415	396
1104416	714
1104417	532
1104418	8
1104419	463
1104420	312
1104421	324
1104422	456
1104423	523
1104424	286
1104425	216
1104426	417
1104427	266
1104428	392
1104429	529
1104430	302
1104431	305
1104432	301
1104433	350
1104434	646
1104435	311
1104436	466
1104437	292
1104438	441
1104439	420
1104440	372
1104441	377
1104442	392
1104443	230
1104444	339
1104445	393
1104446	566
1104447	477
1104448	425
1104449	377
1104450	390
1104451	389
1104452	193
1104453	364
1104454	214
1104455	451
1104456	436
1104457	373
1104458	337
1104459	358
1104501	388
1104502	343
1104503	298
1104504	599
1104505	567
1104506	602
1104507	520
1104508	398
1104509	449
1104510	620
1104511	560
1104512	429
1104513	676
1104514	448
1104515	350
1104516	580
1104517	305
1104518	805
1104519	313
1104521	457
1104522	432
1104523	278
1104524	642
1104601	414
1104602	319
1104603	492
1104604	442
1104605	257
1104606	425
1104607	497
1104608	526
1104609	420
1104610	250
1104611	281
1104612	302
1104614	279
1104615	303
1104616	503
1104617	448
1104618	505
1104619	493
1104620	412
1104621	316
1104622	331
1104623	22
1104624	522
1104625	651
1104701	457
1104702	248
1104703	223
1104704	546
1104705	552
1104706	411
1104707	515
1104708	579
1104709	516
1104710	266
1104711	486
1104712	541
1104713	778
1104714	192
1104715	434
1104716	366
1104717	405
1104718	388
1104719	635
1104720	260
1104721	457
1104722	499
1104723	259
1104724	354
1104725	248
1104726	354
1104727	319
1104728	573
1104729	552
1104730	316
1104731	571
1104732	506
1104733	170
1104734	292
1104735	528
1104736	527
1104737	19
1104801	282
1104802	396
1104803	552
1104804	336
1104805	387
1104806	262
1104807	534
1104808	354
1104809	451
1104810	601
1104811	625
1104812	584
1104813	577
1104814	719
1104815	396
1104816	359
1104817	491
1104818	589
1104819	475
1104820	259
1104821	567
1104822	543
1104823	340
1104824	710
1104825	494
1104826	432
1104827	502
1104828	526
1104829	483
1104830	574
1104831	408
1104832	512
1104833	518
1104834	335
1104835	333
1104836	576
1104837	556
1104838	338
1104840	329
1104841	348
1104842	372
1104843	450
1104844	317
1104845	545
1104846	570
1104847	330
1104848	454
1104849	423
1104901	476
1104902	289
1104903	420
1104904	364
1104905	523
1104906	360
1104907	241
1104908	192
1104910	493
1105001	620
1105002	348
1105003	531
1105004	316
1105005	414
1105006	426
1105007	415
1105008	759
1105009	443
1105010	332
1105011	414
1105012	347
1105013	405
1105015	239
1105016	9
1105017	384
1105018	332
1105019	441
1105020	337
1105021	508
1105022	464
1105024	402
1105025	377
1105026	530
1105027	352
1105028	596
1105101	481
1105102	366
1105103	250
1105104	224
1105106	488
1105107	80
1105108	478
1105109	294
1105110	361
1105111	261
1105112	330
1105113	368
1105114	340
1105115	264
1105116	265
1105201	591
1105202	530
1105203	290
1105204	557
1105205	574
1105206	423
1105207	456
1105208	388
1105209	369
1105210	278
1105213	251
1105214	299
1105215	291
1105216	465
1105301	511
1105302	433
1105303	484
1105304	374
1105305	553
1105306	425
1105307	588
1105308	342
1105309	364
1105310	388
1105311	320
1105312	327
1105313	279
1105314	425
1105315	602
1105316	530
1105317	280
1105318	335
1105319	183
1105320	331
1105321	623
1105322	205
1105323	10
1105324	412
1105325	390
1105326	425
1105327	359
1105328	611
1105329	509
1105330	464
1105331	322
1105332	359
1105333	320
1105334	660
1105335	393
1105336	285
1105337	513
1105401	538
1105402	337
1105403	360
1105404	499
1105405	266
1105406	546
1105407	571
1105408	743
1105409	349
1105410	376
1105411	399
1105412	446
1105413	319
1105414	354
1105415	5
1105417	335
1105418	622
1105419	693
1105420	428
1105421	404
1105422	416
1105423	478
1105424	279
1105501	306
1105502	568
1105503	468
1105504	20
1105505	350
1105506	546
1105507	522
1105508	385
1105509	543
1105510	248
1105511	550
1105512	234
1105513	281
1105514	263
1105601	703
1105602	768
1105603	696
1105604	238
1105605	672
1105606	299
1105607	507
1105608	502
1105609	414
1105612	523
1105613	579
1105614	448
1105615	532
1105616	15
1105617	286
1105618	1222
1105620	326
1105621	3
1105622	420
1105623	400
1105624	436
1105625	341
1105626	1019
1105627	542
1105628	738
1105629	535
1105630	590
1105631	520
1105632	412
1105633	538
1105701	724
1105702	506
1105703	549
1105704	469
1105705	38
1105706	428
1105707	655
1105708	319
1105709	425
1105710	674
1105711	388
1105712	353
1105713	253
1105714	305
1105715	329
1105716	552
1105717	555
1105718	549
1105719	476
1105720	278
1105801	386
1105802	297
1105804	361
1105805	291
1105806	415
1105807	245
1105808	226
1105809	275
1105811	388
1105813	487
1105814	329
1105815	383
1105816	293
1105817	506
1105818	528
1105819	440
1105820	308
1105821	303
1105822	423
1105823	611
1105824	502
1105825	411
1105826	602
1105827	468
1105828	347
1105829	449
1105830	338
1105831	258
1105832	392
1105833	230
1105834	385
1105835	505
1105836	306
1105837	303
1105838	538
1105839	572
1105840	472
1105841	465
1105842	501
1105843	457
1105844	423
1105845	525
1105846	505
1105847	629
1105848	518
1105849	616
1105850	311
1105851	429
1105853	319
1105854	352
1105855	356
1105856	270
1105857	341
1105858	3
1105859	634
1105860	267
1105861	246
1105862	240
1105863	470
1105864	380
1105901	386
1105902	344
1105903	309
1105904	3
1105905	516
1105906	296
1105907	321
1105908	267
1105910	883
1105912	325
1105913	556
1105914	413
1105915	334
1105916	612
1105917	805
1105918	558
1105919	877
1105920	295
1105921	341
1105922	416
1105923	991
1105924	227
1105925	562
1105926	471
1105927	79
1106001	234
1106002	211
1106003	254
1106004	419
1106005	384
1106006	566
1106007	179
1106008	434
1106009	232
1106010	516
1106011	357
1106012	379
1106013	349
1106014	262
1106015	282
1106016	459
1106017	235
1106018	295
1106019	325
1106020	304
1106021	242
1106101	205
1106102	388
1106103	381
1106104	218
1106105	231
1106106	427
1106107	280
1106108	417
1106109	174
1106110	337
1106111	268
1106112	460
1106113	13
1106114	267
1106115	246
1106116	348
1106201	420
1106202	473
1106203	455
1106204	384
1106205	433
1106206	402
1106207	262
1106208	217
1106209	325
1106210	346
1106211	399
1106212	188
1106213	281
1106214	189
1106215	235
1106216	122
1106217	268
1106218	200
1106219	316
1106220	203
1106221	156
1106222	334
1106223	3
1106224	37
1106303	478
1106304	685
1106305	251
1106306	276
1106307	3
1106308	378
1106309	459
1106310	411
1106311	409
1106312	332
1106313	227
1106314	195
1106315	429
1106316	417
1106317	406
1106318	308
1106319	317
1106320	222
1106321	297
1106322	271
1106323	450
1106324	298
1106325	507
1106326	210
1106327	207
1106328	495
1106329	221
1106401	173
1106402	252
1106403	289
1106404	372
1106405	327
1106406	314
1106407	434
1106408	471
1106409	258
1106410	289
1106411	281
1106412	280
1106413	316
1106414	352
1106415	237
1106416	188
1106417	330
1106418	283
1106501	320
1106502	322
1106503	317
1106504	379
1106505	366
1106506	438
1106507	423
1106508	472
1106509	494
1106510	313
1106511	516
1106512	360
1106513	329
1106514	325
1106515	510
1106516	205
1106517	210
1106518	345
1106519	261
1106520	277
1106521	326
1106522	230
1106523	348
1106524	204
1106525	207
1106526	463
1106527	370
1106528	431
1106529	387
1106601	206
1106602	165
1106603	287
1106604	358
1106605	365
1106606	193
1106607	364
1106608	177
1106609	317
1106610	320
1106611	302
1106612	370
1106613	230
1106701	362
1106702	411
1106703	338
1106704	172
1106705	314
1106706	333
1106707	374
1106708	410
1106709	360
1106710	520
1106711	304
1106712	551
1106713	349
1106714	492
1106715	626
1106716	388
1106717	279
1106718	367
1106719	392
1106720	335
1106721	229
1106722	326
1106723	414
1106724	435
1106725	285
1106726	398
1106727	461
1106728	180
1106729	592
1106801	228
1106802	250
1106803	267
1106804	210
1106805	411
1106806	272
1106807	321
1106808	376
1106809	419
1106810	322
1106811	310
1106901	240
1106902	515
1106903	274
1106904	392
1106905	147
1106906	337
1106907	269
1106908	229
1106909	204
1106910	299
1106911	224
1106912	290
1106913	324
1106914	436
1106915	399
1106916	360
1106917	277
1106918	319
1106919	400
1107001	414
1107002	100
1107003	416
1107004	133
1107005	616
1107006	537
1107007	235
1107008	349
1107010	461
1107011	502
1107012	402
1107013	327
1107014	441
1107015	644
1107016	346
1107017	302
1107018	524
1107019	490
1107020	419
1107021	649
1107022	415
1107023	459
1107024	265
1107025	301
1107026	265
1107027	571
1107028	495
1107029	392
1107030	335
1107031	412
1107032	592
1107101	222
1107102	250
1107103	346
1107104	195
1107105	314
1107106	516
1107107	607
1107108	361
1107109	260
1107110	346
1107111	200
1107112	309
1107113	328
1107114	257
1107115	309
1107116	297
1107117	307
1107118	9
1107119	247
1107120	259
1107121	222
1107122	426
1107123	212
1107124	509
1107125	213
1107126	94
1107127	247
1107128	399
1107201	361
1107202	376
1107203	249
1107204	421
1107205	462
1107206	344
1107207	192
1107208	538
1107209	341
1107210	460
1107211	764
1107212	283
1107214	317
1107215	438
1107216	400
1107217	718
1107218	421
1107219	572
1107220	519
1107221	335
1107222	226
1107224	501
1107225	668
1107226	640
1107227	560
1107228	611
1107301	4
1107302	295
1107303	412
1107304	232
1107305	208
1107306	230
1107307	373
1107308	271
1107309	167
1107310	337
1107311	229
1107312	225
1107313	143
1107314	310
1107401	265
1107402	304
1107403	476
1107404	470
1107405	433
1107406	216
1107407	353
1107408	253
1107409	653
1107410	225
1107411	388
1107412	480
1107413	522
1107414	479
1107415	540
1107416	393
1107417	305
1107418	374
1107419	317
1107420	417
1107421	427
1107422	458
1107423	325
1107425	475
1107426	321
1107427	486
1107601	249
1107602	207
1107603	531
1107604	342
1107605	363
1107606	472
1107607	281
1107608	421
1107609	378
1107610	362
1107611	200
1107612	267
1107613	340
1107614	444
1107615	517
1107616	414
1107617	492
1107618	248
1107619	259
1107620	218
1107621	283
1107701	358
1107702	506
1107703	346
1107704	281
1107705	178
1107706	239
1107707	430
1107708	504
1107709	356
1107710	207
1107711	453
1107712	211
1107713	525
1107714	310
1107715	396
1107716	572
1107717	415
1107718	463
1107719	393
1107720	581
1107721	296
1107722	239
1107723	448
1107724	244
1107725	213
1107726	454
1107727	367
1107728	359
1107729	396
1107730	420
1107731	504
1107732	227
1107733	438
1107734	234
1107735	3
1107736	127
1107737	204
1107738	209
1107739	239
1107740	586
1107741	232
1107742	329
1107743	226
1107744	318
1107745	303
1107746	532
1107747	386
1107748	365
1107749	257
1107750	436
1107751	370
1107752	548
1107753	294
1107754	465
1107801	301
1107802	246
1107804	445
1107805	369
1107806	574
1107807	357
1107808	482
1107809	193
1107810	282
1107811	263
1107812	409
1107813	216
1107814	367
1107815	345
1107816	343
1107817	581
1107818	590
1107819	326
1107820	221
1107821	208
1107822	523
1107823	332
1107824	485
1107825	279
1107826	442
1107827	959
1107828	536
1107829	464
1107830	541
1107831	376
1107833	1156
1107834	1276
1107835	506
1107836	630
1107837	326
1107838	298
1107839	354
1107840	261
1107841	657
1107842	756
1107843	267
1107844	409
1107845	776
1107901	272
1107902	311
1107903	361
1107904	435
1107905	311
1107906	172
1107907	342
1107908	318
1107909	272
1107910	200
1107911	342
1107912	280
1107913	452
1107914	319
1107915	292
1107916	241
1107917	252
1107918	286
1107919	329
1107920	219
1107921	321
1107922	375
1107923	180
1107924	539
1107925	602
1107926	171
1107927	404
1107928	447
1107929	516
1107930	462
1107931	160
1107932	280
1107933	141
1107934	304
1107935	281
1107936	390
1108001	402
1108002	47
1108003	359
1108004	24
1108005	270
1108006	376
1108007	488
1108008	355
1108009	335
1108010	456
1108011	394
1108012	531
1108013	160
1108014	368
1108015	546
1108016	334
1108017	508
1108018	361
1108019	466
1108020	369
1108021	302
1108022	302
1108023	399
1108024	311
1108025	524
1108026	256
1108027	425
1108028	344
1108029	499
1108030	466
1108031	457
1108032	294
1108033	402
1108034	355
1108036	171
1108037	398
1108038	266
1108039	420
1108040	572
1108041	495
1108042	336
1108043	444
1108044	517
1108046	318
1108047	266
1108048	375
1108049	217
1108050	383
1108052	315
1108053	173
1108054	216
1108055	318
1108101	261
1108102	437
1108103	256
1108104	155
1108105	337
1108106	298
1108107	230
1108108	475
1108109	308
1108110	288
1108112	346
1108113	379
1108114	484
1108115	249
1108116	227
1108117	345
1108118	276
1108119	127
1108120	403
1108121	432
1108122	318
1108123	247
1108124	437
1108125	200
1108126	212
1108127	184
1108128	321
1108129	358
1108130	339
1108131	430
1108132	240
1108133	282
1108134	520
1108135	565
1108136	469
1108137	243
1108138	257
1108139	341
1108140	241
1108141	205
1108143	365
1108144	355
1108145	305
1108146	381
1108147	326
1108148	92
1108149	203
1108150	221
1108151	29
1108152	315
1108201	35
1108202	263
1108203	610
1108204	786
1108205	337
1108206	34
1108207	769
1108208	222
1108209	207
1108210	6
1108211	473
1108212	351
1108213	407
1108214	421
1108215	542
1108216	356
1108217	212
1108218	266
1108219	358
1108220	224
1108221	482
1108222	461
1108223	163
1108224	291
1108225	231
1108226	267
1108227	360
1108228	285
1108229	341
1108230	395
1108231	347
1108232	513
1108233	610
1108234	539
1108235	320
1108237	446
1108238	494
1108239	211
1108240	491
1108241	440
1108242	326
1108243	474
1108244	488
1108245	406
1108301	564
1108302	232
1108303	410
1108304	250
1108305	405
1108306	181
1108307	319
1108308	322
1108309	374
1108310	382
1108311	177
1108312	328
1108313	335
1108314	392
1108315	390
1108316	377
1108317	365
1108401	408
1108403	564
1108404	443
1108405	271
1108406	226
1108407	522
1108408	297
1108409	507
1108410	397
1108411	161
1108412	238
1108413	447
1108414	494
1108415	553
1108416	362
1108417	303
1108418	349
1108419	330
1108420	168
1108421	436
1108422	236
1108423	190
1108424	261
1108425	259
1108426	461
1108427	558
1108428	334
1108429	354
1108430	500
1108431	521
1108432	288
1108433	629
1108434	336
1108435	427
1108436	631
1108438	430
1108439	815
1108440	448
1108441	307
1108442	243
1108443	475
1108444	576
1108445	301
1108446	413
1108502	595
1108503	10
1108504	343
1108505	408
1108506	323
1108507	388
1108508	331
1108509	213
1108510	570
1108511	296
1108512	468
1108513	299
1108514	334
1108515	288
1108516	289
1108517	453
1108518	364
1108519	620
1108520	133
1108521	13
1108522	18
1108523	280
1108524	401
1108525	384
1108526	217
1108527	538
1108528	491
1108529	499
1108530	272
1108531	448
1108601	391
1108602	222
1108603	298
1108604	273
1108605	263
1108606	202
1108607	196
1108608	356
1108609	423
1108610	196
1108611	344
1108612	268
1108613	386
1108701	210
1108702	283
1108703	362
1108704	221
1108705	181
1108706	206
1108707	219
1108708	217
1108709	348
1108710	277
1108711	238
1108712	168
1108713	323
1108802	986
1108803	434
1108804	418
1108805	203
1108806	399
1108808	404
1108809	385
1108810	324
1108811	828
1108812	515
1108813	481
1108814	378
1108815	465
1108816	394
1108817	569
1108818	540
1108819	314
1108820	711
1108901	325
1108902	553
1108903	255
1108904	451
1108905	534
1108906	307
1108907	172
1108908	744
1108909	412
1108910	329
1108911	544
1108912	438
1108913	3
1108914	542
1108915	405
1108916	345
1108917	396
1108918	256
1108919	360
1108920	211
1108921	338
1108922	347
1108923	523
1108924	533
1108925	274
1108926	415
1108928	357
1108929	395
1108930	361
1108931	239
1108932	442
1108933	404
1108934	406
1108935	431
1108936	66
1108937	203
1108938	9
1108939	337
1108940	333
1108941	286
1108942	13
1108943	432
1108944	380
1108945	336
1108946	642
1108947	400
1108948	476
1108949	383
1108950	432
1108951	617
1108952	135
1108954	358
1108955	294
1108956	320
1109001	344
1109003	314
1109004	228
1109005	145
1109006	442
1109007	371
1109008	412
1109009	332
1109010	340
1109011	285
1109012	202
1109013	462
1109014	291
1109015	501
1109101	270
1109102	425
1109103	365
1109105	404
1109106	354
1109107	582
1109108	331
1109109	410
1109110	329
1109111	477
1109113	491
1109115	250
1109116	272
1109118	303
1109121	336
1109122	523
1109123	557
1109124	567
1109125	297
1109126	481
1109127	451
1109128	354
1109129	96
1109130	504
1109131	265
1109132	612
1109133	384
1109134	219
1109135	280
1109136	306
1109138	357
1109139	268
1109140	25
1109141	391
1109201	559
1109202	405
1109203	152
1109204	428
1109205	241
1109207	469
1109208	376
1109209	351
1109210	158
1109211	291
1109212	270
1109213	297
1109301	86
1109302	354
1109303	329
1109304	459
1109305	322
1109306	277
1109307	313
1109308	288
1109309	458
1109310	425
1109311	370
1109312	156
1109313	393
1109317	440
1109401	328
1109402	266
1109403	400
1109404	242
1109405	155
1109406	257
1109407	219
1109408	201
1109409	229
1109410	388
1109411	395
1109412	339
1109413	251
1109414	437
1109501	280
1109502	254
1109503	603
1109504	291
1109505	505
1109506	193
1109507	209
1109508	519
1109509	241
1109510	346
1109511	497
1109512	261
1109513	543
1109514	223
1109601	249
1109603	105
1109604	158
1109605	175
1109606	169
1109607	230
1109608	64
1109610	291
1109611	316
1109612	311
1109613	233
1109614	321
1109615	542
1109616	317
1109617	176
1109618	365
1109619	148
1109620	296
1109621	398
1109622	404
1109623	375
1109624	435
1109627	351
1109701	241
1109702	190
1109703	313
1109704	279
1109705	404
1109706	419
1109707	240
1109708	240
1109709	283
1109710	60
1109711	200
1109712	321
1109713	435
1109714	416
1109715	340
1109716	273
1109717	394
1109718	330
1109719	512
1109720	333
1109721	376
1109722	328
1109723	372
1109724	523
1109725	452
1109726	232
1109727	216
1109728	374
1109729	393
1109730	435
1109731	215
1109732	153
1109733	319
1109734	450
1109735	339
1109736	238
1109737	383
1109738	471
1109739	323
1109740	455
1109741	306
1109742	465
1109743	334
1109744	433
1109745	433
1109746	397
1109747	523
1109748	276
1109749	366
1109750	363
1109751	428
1109752	120
1109801	43
1109802	414
1109803	268
1109804	308
1109805	167
1109806	205
1109807	354
1109808	184
1109809	229
1109810	196
1109811	142
1109901	234
1109902	390
1109903	445
1109904	533
1109905	282
1109906	231
1109907	253
1109908	297
1109909	166
1109910	259
1109911	151
1109912	250
1109913	282
1109914	261
1109915	202
1109916	570
1109917	159
